,period,post.treat,unit_id,gain_rate_fol,gain_rate_non,ts
114,560.0,0,1570,4.809971758594389e-05,0.0001001042110504,0
115,547.0,0,1570,1.7178470566408532e-06,2.1389788685999612e-06,0
116,557.0,0,1570,2.9203399962894504e-05,5.646904213103898e-05,0
117,556.0,0,1570,3.4356941132817063e-06,3.850161963479931e-06,0
118,544.0,0,1570,5.153541169922559e-06,7.700323926959862e-06,0
119,553.0,0,1570,1.8896317623049383e-05,7.700323926959862e-06,0
120,542.0,0,1570,1.2024929396485972e-05,1.11226901167198e-05,0
121,563.0,0,1570,0.0002319093526465,0.0013385729759698,0
122,549.0,0,1570,1.7178470566408532e-06,8.983711248119837e-06,0
123,561.0,0,1570,4.9817564642584744e-05,0.0001005320068241,0
124,565.0,0,1570,0.0002130130350234,0.0018245489749157,0
125,546.0,0,1570,5.153541169922559e-06,2.994570416039946e-06,0
126,618.0,0,1571,9.276374105860607e-05,1.11226901167198e-05,0
127,616.0,0,1571,0.0002181665761933,1.4117260532759744e-05,0
128,620.0,0,1571,9.104589400196522e-05,2.22453802334396e-05,0
129,626.0,0,1571,0.0001992702585703,5.6041246357318986e-05,0
130,613.0,0,1571,0.0003023410819687,7.700323926959862e-06,0
131,631.0,0,1571,0.0002542413643828,5.176328862011906e-05,0
132,640.0,0,1571,0.0002525235173262,0.0001060933518825,0
133,621.0,0,1571,0.0001030708233984,1.9678605591119644e-05,0
134,638.0,0,1571,7.214957637891583e-05,4.277957737199923e-05,0
135,614.0,0,1571,0.0002112951879668,1.326166898531976e-05,0
136,615.0,0,1571,0.0002490878232129,1.839521826995967e-05,0
137,636.0,0,1571,0.0001150957527949,5.133549284639907e-05,0
138,634.0,0,1571,8.761019988868351e-05,5.9035816773358935e-05,0
139,627.0,0,1571,6.871388226563413e-05,2.0106401364839636e-05,0
140,624.0,0,1572,0.0007902096460547,0.0001950748728163,0
141,628.0,0,1572,0.0002216022703066,0.0001219217955101,0
142,617.0,0,1572,0.0007283671520157,0.0001167882462255,0
143,637.0,0,1572,0.0002508056702695,0.0002536828938159,0
144,616.0,0,1572,0.0002490878232129,4.6629739335479154e-05,0
145,633.0,0,1572,0.001415505974672,0.0016842319611356,0
146,640.0,0,1572,0.0002284736585332,0.000669072590098,0
147,613.0,0,1572,0.0008228487401309,0.0001227773870576,0
148,638.0,0,1572,0.0001838096350605,0.0002130422953125,0
149,625.0,0,1572,0.006098357051075,0.0012983601732401,0
150,639.0,0,1572,0.0004328974582734,0.000548434181909,0
151,619.0,0,1572,0.0018106107976994,0.0004081171681288,0
152,634.0,0,1572,0.0003693371171777,0.0005711073579161,0
153,626.0,0,1572,0.0008159773519044,0.0002549662811371,0
